Claim ID,Category,Date,Employee Name,Employee Email,Department,Assigned Manager,Submitted By,Amount,Status,Reviewer,Policy Status,Company ID
16c1142c-45ba-4053-804c-dd8a631905c5,N/A,2026-07-01T21:50:28.436665Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,submitted,,Within policy,demo_company
1765c147-5ace-4855-b9f6-462c73686028,N/A,2026-06-23T04:56:04.198434Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
1d11cc6e-0f88-4c87-ad72-10fd54d81104,N/A,2026-06-23T04:56:14.020253Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,pending_review,,Within policy,demo_company
20414ce1-6fac-4e72-acd2-75e7e47c5719,N/A,2026-07-01T21:50:20.035252Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,submitted,,Within policy,demo_company
3c5ab5a7-c9a7-4e83-a07b-48bd79c1d8ae,N/A,2026-06-23T04:56:04.258899Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,submitted,,Within policy,demo_company
620ff70a-d387-4c11-b9ac-f6c6d29b3976,N/A,2026-06-23T04:56:04.320906Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,pending_review,,Within policy,demo_company
7bbddb9d-e443-4385-ae08-c5d7047a8d9f,N/A,2026-07-01T21:50:20.173464Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
88166c45-67fe-4712-a108-b4faaf612442,N/A,2026-06-23T04:56:04.079626Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,submitted,,Within policy,demo_company
927b3d1f-8e5c-47e3-b263-d50a844c892a,N/A,2026-07-01T21:50:32.872214Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
a6de7699-06a6-485c-a643-21aad15c733a,N/A,2026-07-01T21:50:28.363499Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,submitted,,Within policy,demo_company
ac5f867b-0969-4d20-8476-4fc27380af96,N/A,2026-07-01T21:50:19.943982Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
c57808d3-5572-4cb6-9e94-6048e4b1489e,N/A,2026-07-01T21:50:19.839731Z,fresh.manager.test@company.com,,N/A,manager@company.com,cli-user@company.com,275,submitted,,Within policy,demo_company
c984a0c3-678e-4516-a25d-fa894d1c584f,N/A,2026-06-23T04:56:14.073191Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,submitted,,Within policy,demo_company
claim_1782079095_75c403,office_supplies,2026-06-21T21:58:19.402029Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_1782079435_9ac1bb,office_supplies,2026-06-21T22:03:59.557577Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_1782079768_deacac,office_supplies,2026-06-21T22:09:32.760935Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_1782082956_1259b0,office_supplies,2026-06-21T23:02:40.295470Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_1782100374_19b589,office_supplies,2026-06-22T03:52:57.979821Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_1782138566_2a3efb,office_supplies,2026-06-22T14:29:29.968820Z,Jane Employee,jane.employee@company.com,N/A,manager@company.com,default-user@company.com,45,auto_approved,agent,Within policy,demo_company
claim_review_1782079100,flight,2026-06-21T21:58:20.276922Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,rejected,obamigbade@gmail.com,Requires manager approval letter,demo_company
claim_review_1782079440,flight,2026-06-21T22:04:00.344630Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,rejected,obamigbade@gmail.com,Requires manager approval letter,demo_company
claim_review_1782079773,flight,2026-06-21T22:09:33.590993Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,approved,default-user@company.com,Within policy,demo_company
claim_review_1782082961,flight,2026-06-21T23:02:41.126915Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,approved,default-user@company.com,Within policy,demo_company
claim_review_1782100378,flight,2026-06-22T03:52:58.847634Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,approved,default-user@company.com,Within policy,demo_company
claim_review_1782138570,flight,2026-06-22T14:29:30.880644Z,John Traveler,john.traveler@company.com,N/A,manager@company.com,default-user@company.com,1400,approved,default-user@company.com,Within policy,demo_company
ea1f6c4e-901a-4ace-9c69-60ca9672a33c,N/A,2026-07-01T21:50:28.289680Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,submitted,,Within policy,demo_company
ec360459-3fe8-46d2-beee-d575d0bb68df,N/A,2026-06-23T04:56:13.956439Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
f09936df-a458-4788-831b-f55378cbdd9c,N/A,2026-07-01T21:50:20.108852Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,submitted,,Within policy,demo_company
f8f2b629-7934-4b77-a4fa-33d0401bcc13,N/A,2026-06-23T04:56:04.143835Z,receipt.test@company.com,,N/A,manager@company.com,cli-user@company.com,700,submitted,,Within policy,demo_company
fc97571a-a41f-41d5-a9b5-9e42ad9a45f8,N/A,2026-06-23T01:40:47.530353Z,Bob (meals),,N/A,manager@company.com,cli-user@company.com,45,auto_approved,agent,Within policy,demo_company
